draw_date,four_digit
2025-08-18,3605
2025-08-20,7662
2025-08-22,7028
2025-08-25,9517
2025-08-27,1870
2025-08-29,2621
2025-09-01,7459
2025-09-03,6158
2025-09-05,6578
2025-09-08,0913
2025-09-10,4316
2025-09-12,1172
2025-09-15,4005
2025-09-17,0455
2025-09-19,6238
2025-09-22,6922
2025-09-24,2196
2025-09-26,9379
2025-09-29,2374
2025-10-01,7407
2025-10-03,4821
2025-10-06,7594
2025-10-08,6474
2025-10-10,3671
2025-10-13,3695
2025-10-15,9440
2025-10-17,6409
2025-10-20,0974
2025-10-22,3953
2025-10-24,3942
2025-10-27,1047
2025-10-29,0952
2025-10-31,1456
2025-11-03,2328
2025-11-05,5884
2025-11-07,2474
2025-11-10,5171
2025-11-12,2368
2025-11-14,5160
2025-11-17,4817
2025-11-19,5496
2025-11-21,5137
2025-11-24,0985
2025-11-26,9317
2025-11-28,4612
2025-12-01,0047
2025-12-03,1138
2025-12-05,2675
2025-12-08,8692
2025-12-10,6179
2025-12-12,6405
2025-12-15,3773
2025-12-17,5158
2025-12-19,5064
2025-12-22,3171
2025-12-24,3900
2025-12-26,5329
2025-12-29,3183
2025-12-31,9335
2026-01-02,2904
2026-01-05,2284
2026-01-07,2102
2026-01-09,0539
2026-01-12,5024
2026-01-14,0268
2026-01-16,1177
2026-01-19,5891
2026-01-21,7839
2026-01-23,0847
2026-01-26,0076
2026-01-28,6177
2026-01-30,1159
2026-02-02,2124
2026-02-04,9985
2026-02-06,6984
2026-02-09,7896
2026-02-11,1183
2026-02-13,6736
2026-02-16,5766
2026-02-18,1565
2026-02-20,4527
2026-02-23,1111
2026-02-25,6152
2026-02-27,8098
2026-03-02,8516
2026-03-04,5604
2026-03-06,9451
2026-03-09,9832
2026-03-11,7315
2026-03-13,8514
2026-03-16,9368
2026-03-18,9980
2026-03-20,9402
2026-03-23,4455
2026-03-25,0229
2026-03-27,6120
2026-03-30,1836
2026-04-01,6752
2026-04-03,5459
2026-04-06,9102
2026-04-08,2901
2026-04-10,4767
2026-04-13,9764
2026-04-15,3815
2026-04-17,6149
2026-04-20,7840
2026-04-22,3690
2026-04-24,0343
2026-04-27,2445
2026-04-29,1076
2026-05-01,2268
2026-05-04,3885
2026-05-06,1606
2026-05-08,0715
2026-05-11,9696
2026-05-13,6416
2026-05-15,0529
2026-05-18,7516
2026-05-20,1369
2026-05-22,6816
2026-05-25,4535
2026-05-27,2181
2026-05-29,8835
2026-06-01,5231
2026-06-03,2432
2026-06-05,9212
2026-06-08,7799
2026-06-10,7995
2026-06-12,5271
2026-06-15,7744
2026-06-17,9058
2026-06-19,1477
2026-06-22,0054
2026-06-24,1199
2026-06-26,8679
2026-06-29,8079
2026-07-01,3597
2026-07-03,8207
2026-07-06,1518
2026-07-08,2037
2026-07-10,7889
2026-07-13,2554
2026-07-15,6659
2026-07-17,0515
2026-07-20,1864
