draw_date,four_digit
2026-01-26,0932
2026-01-23,8401
2026-01-21,9685
2026-01-19,7789
2026-01-16,4182
2026-01-14,8060
2026-01-12,6753
2026-01-09,0905
2026-01-07,7653
2026-01-05,3845
2026-01-02,3626
2025-12-31,4541
2025-12-29,0369
2025-12-26,0052
2025-12-24,4892
2025-12-22,5963
2025-12-19,4603
2025-12-17,3099
2025-12-15,6440
2025-12-12,4546
2025-12-10,7817
2025-12-08,2662
2025-12-05,9145
2025-12-03,3798
2025-12-01,4105
2025-11-28,1679
2025-11-26,5541
2025-11-24,2133
2025-11-21,6238
2025-11-19,4322
2025-11-17,4579
2025-11-14,9877
2025-11-12,1651
2025-11-10,1187
2025-11-07,3320
2025-11-05,2926
2025-11-03,1226
2025-10-31,3725
2025-10-29,2500
2025-10-27,2412
2025-10-24,1677
2025-10-22,4918
2025-10-20,7480
2025-10-17,3509
2025-10-15,9152
2025-10-13,9456
2025-10-10,7318
2025-10-08,3946
2025-10-06,1739
2025-10-03,8654
2025-10-01,9506
2025-09-29,2774
2025-09-26,6958
2025-09-24,4415
2025-09-22,9252
2025-09-19,0862
2025-09-17,0543
2025-09-15,6828
2025-09-12,0188
2025-09-10,1709
2025-09-08,3798
2025-09-05,8775
2025-09-03,0701
2025-09-01,4088
2025-08-29,8976
2025-08-27,1541
2025-08-25,8511
2025-08-22,0568
2025-08-20,0722
2025-08-18,9795
2025-08-15,4662
2025-08-13,1934
2025-08-11,6683
2025-08-08,9503
2025-08-06,9473
2025-08-04,8242
2025-08-01,7617
2025-07-30,2872
2025-07-28,2528
2025-07-25,6849
2025-07-23,0440
2025-07-21,1942
2025-07-18,4269
2025-07-16,1037
2025-07-14,9130
2025-07-11,6988
2025-07-09,6234
2025-07-07,2066
2025-07-04,7957
2025-07-02,2206
2025-06-30,5673
2025-06-27,4787
2025-06-25,3228
2025-06-23,1126
2025-06-20,1056
2025-06-18,4822
2025-06-16,7743
2025-06-13,1630
2025-06-11,2033
2025-06-09,1737
2025-06-06,6446
2025-06-04,9626
2025-06-02,3119
2025-05-30,5284
2025-05-28,6374
2025-05-26,2146
2025-05-23,2597
2025-05-21,8789
2025-05-19,4091
2025-05-16,3794
2025-05-14,7985
2025-05-12,2532
2025-05-09,8518
2025-05-07,0827
2025-05-05,6279
2025-05-02,4409
2025-04-30,9591
2025-04-28,0702
2025-04-25,5741
2025-04-23,8112
2025-04-21,2499
2025-04-18,5116
2025-04-11,2011
2025-04-09,5795
2025-04-07,8159
2025-04-04,4445
2025-04-02,0609
2025-03-31,6647
2025-03-28,6845
2025-03-26,1626
2025-03-24,8459
2025-03-21,7289
2025-03-19,3164
2025-03-17,5480
2025-03-14,1177
2025-03-12,9842
2025-03-07,5215
2025-03-05,2160
2025-03-03,0411
2025-02-28,2439
2025-02-26,8994
2025-02-24,4528
2025-02-21,6705
2025-02-19,9681
2025-02-17,4176
2025-02-14,4647
2025-02-12,6045
2025-02-10,8774
2025-02-07,0055
2025-02-05,1810
2025-02-03,2897
2025-01-31,4277
2025-01-29,7970
2025-01-27,8524
2025-01-24,3205
2025-01-22,4361
2025-01-20,0086
2025-01-17,2944
2025-01-15,5381
2025-01-13,8733
2025-01-10,1393
2025-01-08,7449
2025-01-06,4609
2025-01-03,2256
2024-12-30,9265
2024-12-27,8667
2024-12-25,9989
2024-12-23,9285
2024-12-20,5092
2024-12-18,3741
2024-12-16,4601
2024-12-13,9498
2024-12-11,9318
2024-12-09,5457
2024-12-06,9036
2024-12-04,6353
2024-11-29,4493
2024-11-27,1480
2024-11-25,7162
2024-11-22,9497
2024-11-20,5575
2024-11-18,2810
2024-11-15,5136
2024-11-13,1433
2024-11-11,5269
2024-11-08,6347
2024-11-06,1786
2024-11-04,7589
2024-11-01,3851
2024-10-30,4614
2024-10-28,5177
2024-10-25,2002
2024-10-23,3362
2024-10-21,2989
2024-10-18,0741
2024-10-16,0079
2024-10-14,8919
2024-10-11,9692
2024-10-09,8435
2024-10-07,0040
2024-10-04,9636
2024-10-02,0489
2024-09-30,2811
2024-09-27,4821
2024-09-25,4596
2024-09-23,2703
2024-09-20,8644
2024-09-18,9865
2024-09-16,3866
2024-09-13,1647
2024-09-11,0667
2024-09-09,7339
2024-09-06,2846
2024-09-04,1157
2024-09-02,0605
2024-08-30,2764
2024-08-28,8239
2024-08-26,8224
2024-08-23,8254
2024-08-21,9359
2024-08-19,9698
2024-08-16,2076
2024-08-14,1274
2024-08-12,9284
2024-08-09,8431
2024-08-07,5402
2024-08-05,1150
2024-08-02,4005
2024-07-31,3664
2024-07-29,4075
2024-07-26,5048
2024-07-24,4324
2024-07-22,6143
2024-07-19,0517
2024-07-17,5941
2024-07-15,7076
2024-07-12,9065
2024-07-10,9018
2024-07-08,2878
2024-07-05,5056
2024-07-03,0072
2024-07-01,9036
2024-06-28,5514
2024-06-26,1619
2024-06-24,4248
2024-06-21,9106
2024-06-19,5459
2024-06-17,1209
2024-06-14,5059
2024-06-12,4883
2024-06-10,7206
2024-06-07,1732
2024-06-05,1493
2024-06-03,1399
2024-05-31,3303
2024-05-29,5419
2024-05-27,9853
2024-05-24,9057
2024-05-22,3710
2024-05-20,0147
2024-05-17,8717
2024-05-15,9902
2024-05-13,3598
2024-05-10,1155
2024-05-08,6619
2024-05-06,1269
2024-05-03,7999
2024-04-29,4351
2024-04-26,8721
2024-04-24,2552
2024-04-22,9490
2024-04-19,4271
2024-04-12,9432
2024-04-10,4389
2024-04-08,9545
2024-04-05,6804
2024-04-03,1959
2024-04-01,1596
2024-03-29,2420
2024-03-27,0911
2024-03-25,8258
2024-03-22,2858
2024-03-20,7706
2024-03-18,8302
2024-03-15,5488
2024-03-13,1857
2024-03-11,4856
2024-03-06,6478
2024-03-04,5915
2024-03-01,6727
2024-02-28,6118
2024-02-26,8596
2024-02-23,3772
2024-02-21,3890
2024-02-19,9938
2024-02-16,9390
2024-02-14,7243
2024-02-12,7215
2024-02-09,8251
2024-02-07,8368
2024-02-05,2263
2024-02-02,4413
2024-01-31,8932
2024-01-29,8499
2024-01-26,1622
2024-01-24,7380
2024-01-22,3099
2024-01-19,9528
2024-01-17,1226
2024-01-12,1724
2024-01-10,8391
2024-01-08,4475
2024-01-05,3675
2024-01-03,3873
2023-12-29,7095
